id,title,artist,duration,url
1,jhol,Unknown Artist,4:38,/local_music/D:/$RECYCLE.BIN/S-1-5-21-1923253524-4171780704-1422848152-1001/$R6U3ZXO/jhol.mp3
2,Half-Life01,Unknown Artist,2:09,/local_music/E:/Games/CS 1.6/CS 1.6/valve/media/Half-Life01.mp3
3,Half-Life03,Unknown Artist,2:04,/local_music/E:/Games/CS 1.6/CS 1.6/valve/media/Half-Life03.mp3
4,Half-Life04,Unknown Artist,2:08,/local_music/E:/Games/CS 1.6/CS 1.6/valve/media/Half-Life04.mp3
5,Half-Life16,Unknown Artist,2:00,/local_music/E:/Games/CS 1.6/CS 1.6/valve/media/Half-Life16.mp3
6,Prospero01,Unknown Artist,2:11,/local_music/E:/Games/CS 1.6/CS 1.6/valve/media/Prospero01.mp3
7,Castlejam,Unknown Artist,4:19,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/Castlejam.mp3
8,Fiddle solo,Unknown Artist,2:35,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/Fiddle solo.mp3
9,Labyrinth,Unknown Artist,5:02,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/Labyrinth.mp3
10,Mattsjig,Unknown Artist,2:52,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/Mattsjig.mp3
11,Minstrelosity,Unknown Artist,5:09,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/Minstrelosity.mp3
12,Sad Times Full,Unknown Artist,3:47,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/Sad Times Full.mp3
13,The Life of a Gong Farmer,Unknown Artist,3:32,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/The Life of a Gong Farmer.mp3
14,The Smith,Unknown Artist,3:01,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/The Smith.mp3
15,Two Mandolins,Unknown Artist,2:33,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/Two Mandolins.mp3
16,Underanoldtree,Unknown Artist,4:27,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/Underanoldtree.mp3
17,Virgin Territory,Unknown Artist,4:23,/local_music/E:/Games/Stronghold.HD.Enhanced.Edition/Stronghold HD Enhanced Edition/soundtrack/Virgin Territory.mp3
